Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
56,43,18,42,80,11,0.5,0.0125,0.000225,70.56327160493827
57,37,32,39,78,24,0.4,0.0125,0.0009,69.05864197530863
58,42,26,38,72,20,0.5,0.0925,0.0007875,70.1003086419753
59,28,18,47,60,21,0.4,0.0325,0.000675,68.40277777777777
60,53,18,30,67,17,0.4,0.0325,0.000675,69.75308641975309
61,50,11,52,65,27,0.3,0.0825,0.00045,66.5895061728395
62,40,22,52,57,14,0.7000000000000002,0.0525,0.000675,71.60493827160492
63,30,17,26,73,12,0.3,0.0325,0.0,68.9429012345679
64,51,33,40,76,28,0.6000000000000001,0.0725,0.0,69.21296296296298
65,43,21,46,79,23,0.6000000000000001,0.0825,0.00045,70.13888888888889
66,34,27,32,56,15,0.5,0.0825,0.0009,70.21604938271605
67,29,17,51,73,29,0.8,0.0225,0.0,73.14814814814814
68,46,16,47,70,20,0.6000000000000001,0.0425,0.0001125,69.94598765432099
69,45,14,36,76,18,0.6000000000000001,0.0725,0.000675,69.86882716049382
70,33,22,34,57,15,0.3,0.0725,0.0001125,68.3641975308642
71,31,20,26,53,29,0.8,0.0925,0.000675,72.80092592592592
72,47,32,35,81,13,0.4,0.0125,0.0009,70.79475308641976
73,43,32,39,78,23,0.7000000000000002,0.0325,0.0009,71.37345679012346
74,50,31,30,73,14,0.7000000000000002,0.0425,0.0009,71.75925925925927
75,39,12,43,61,14,0.3,0.0425,0.0007875,69.13580246913581
76,45,35,47,71,16,0.2,0.0725,0.0001125,69.29012345679013
77,40,13,50,53,25,0.5,0.0625,0.00045,71.02623456790123
78,34,11,43,58,22,0.3,0.0925,0.0009,68.94290123456791
79,51,13,50,75,27,0.7000000000000002,0.0725,0.0009,69.56018518518518
80,47,32,29,64,14,0.6000000000000001,0.0525,0.000225,70.64043209876543
81,46,23,38,55,29,0.4,0.0425,0.000675,68.86574074074075
82,25,27,27,55,19,0.4,0.0425,0.0,70.4861111111111
83,27,20,35,74,24,0.6000000000000001,0.0225,0.000225,70.21604938271604
84,25,28,40,62,28,0.7000000000000002,0.0925,0.0001125,71.72067901234567
85,43,35,25,61,13,0.7000000000000002,0.0225,0.000675,70.48611111111111
86,54,21,35,73,27,0.4,0.0425,0.0003375,68.24845679012346
87,32,33,27,79,26,0.7000000000000002,0.0925,0.0009,70.71759259259258
88,37,24,29,71,17,0.7000000000000002,0.0825,0.0009,70.98765432098766
89,54,32,26,81,14,0.5,0.0925,0.00045,69.59876543209877
90,35,30,26,82,11,0.7000000000000002,0.0525,0.00045,70.40895061728395
91,51,29,30,71,11,0.2,0.0225,0.0003375,70.71759259259258
92,42,11,39,78,18,0.5,0.0925,0.000675,68.78858024691357
93,41,15,34,67,15,0.5,0.0525,0.0003375,70.02314814814815
94,50,24,29,72,17,0.5,0.0425,0.0007875,70.25462962962962
95,33,32,27,70,26,0.3,0.0725,0.0007875,67.66975308641975
