param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,accuracy,subject_id,avg_accuracy
n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id,0.0
31,32,30,67,13,0.7000000000000002,0.0825,0.0,0.1330533026539408,1,0.16386595559196812
31,32,30,67,13,0.7000000000000002,0.0825,0.0,0.3037420423105159,2,0.16386595559196812
31,32,30,67,13,0.7000000000000002,0.0825,0.0,0.05480252181144762,3,0.16386595559196812
50,15,32,67,20,0.8,0.0525,0.0001125,0.1828657608842175,1,0.2464660594816893
50,15,32,67,20,0.8,0.0525,0.0001125,0.3319648915642333,2,0.2464660594816893
50,15,32,67,20,0.8,0.0525,0.0001125,0.224567525996617,3,0.2464660594816893
49,21,46,56,28,0.6000000000000001,0.0125,0.0,0.3592424839884246,1,0.47393937432806493
49,21,46,56,28,0.6000000000000001,0.0125,0.0,0.6460224015753595,2,0.47393937432806493
49,21,46,56,28,0.6000000000000001,0.0125,0.0,0.4165532374204107,3,0.47393937432806493
51,18,45,66,14,0.7000000000000002,0.0425,0.000675,0.1445705570115374,1,0.3320812197524092
51,18,45,66,14,0.7000000000000002,0.0425,0.000675,0.4611043371209542,2,0.3320812197524092
51,18,45,66,14,0.7000000000000002,0.0425,0.000675,0.3905687651247358,3,0.3320812197524092
28,24,33,69,12,0.7000000000000002,0.0625,0.000225,0.277907595313421,1,0.42319179407718305
28,24,33,69,12,0.7000000000000002,0.0625,0.000225,0.3923037126947896,2,0.42319179407718305
28,24,33,69,12,0.7000000000000002,0.0625,0.000225,0.5993640742233387,3,0.42319179407718305
51,31,49,76,22,0.7000000000000002,0.0825,0.0005625,0.2159238415150995,1,0.423647615256832
51,31,49,76,22,0.7000000000000002,0.0825,0.0005625,0.4836829128755453,2,0.423647615256832
51,31,49,76,22,0.7000000000000002,0.0825,0.0005625,0.5713360913798511,3,0.423647615256832
47,24,29,69,19,0.5,0.0425,0.0001125,0.07444767893512394,1,0.3000086097405655
47,24,29,69,19,0.5,0.0425,0.0001125,0.3874888896797438,2,0.3000086097405655
47,24,29,69,19,0.5,0.0425,0.0001125,0.4380892606068286,3,0.3000086097405655
54,15,27,51,26,0.5,0.0425,0.0003375,0.2046022392801234,1,0.4271651456639273
54,15,27,51,26,0.5,0.0425,0.0003375,0.5231505050401756,2,0.4271651456639273
54,15,27,51,26,0.5,0.0425,0.0003375,0.553742692671483,3,0.4271651456639273
52,18,48,74,27,0.3,0.0825,0.0003375,0.473560947409017,1,0.48249631828008716
52,18,48,74,27,0.3,0.0825,0.0003375,0.5872197173416641,2,0.48249631828008716
52,18,48,74,27,0.3,0.0825,0.0003375,0.3867082900895805,3,0.48249631828008716
40,32,39,81,10,0.7000000000000002,0.0625,0.000675,0.3052664115975381,1,0.44663897712788403
40,32,39,81,10,0.7000000000000002,0.0625,0.000675,0.4123542752544971,2,0.44663897712788403
40,32,39,81,10,0.7000000000000002,0.0625,0.000675,0.6222962445316169,3,0.44663897712788403
45,35,33,70,10,0.4,0.0425,0.000675,0.3671332731900322,1,0.44616368602394174
45,35,33,70,10,0.4,0.0425,0.000675,0.5607479587435668,2,0.44616368602394174
45,35,33,70,10,0.4,0.0425,0.000675,0.4106098261382263,3,0.44616368602394174
40,30,38,80,20,0.3,0.0125,0.000675,0.5249512444372713,1,0.7396679875894702
40,30,38,80,20,0.3,0.0125,0.000675,0.7820490406057011,2,0.7396679875894702
40,30,38,80,20,0.3,0.0125,0.000675,0.9120036777254382,3,0.7396679875894702
35,35,47,73,18,0.7000000000000002,0.0625,0.000225,0.2302535663241717,1,0.43435686028223514
35,35,47,73,18,0.7000000000000002,0.0625,0.000225,0.4524830090750015,2,0.43435686028223514
35,35,47,73,18,0.7000000000000002,0.0625,0.000225,0.6203340054475323,3,0.43435686028223514
40,24,46,63,23,0.4,0.0925,0.0003375,0.07778149815752244,1,0.2887899837799817
40,24,46,63,23,0.4,0.0925,0.0003375,0.3843187160346795,2,0.2887899837799817
40,24,46,63,23,0.4,0.0925,0.0003375,0.4042697371477433,3,0.2887899837799817
43,31,47,57,29,0.5,0.0525,0.000675,0.4865643700434585,1,0.5481757853371865
43,31,47,57,29,0.5,0.0525,0.000675,0.58644725521217,2,0.5481757853371865
43,31,47,57,29,0.5,0.0525,0.000675,0.5715157307559308,3,0.5481757853371865
41,24,41,77,24,0.6000000000000001,0.0625,0.000225,0.4554527206157798,1,0.560976401673672
