Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
10,45,32,33,81,17,0.3,0.0125,0.00045,0.6732071292720666
11,38,23,27,69,14,0.5,0.0925,0.0003375,0.3795197603356602
12,52,23,29,55,17,0.2,0.0725,0.0001125,0.4873608345197926
13,53,34,49,59,18,0.3,0.0825,0.0,0.2515860729449271
14,49,24,39,70,14,0.5,0.0225,0.000675,0.613838219858958
15,32,26,28,70,29,0.7000000000000002,0.0525,0.00045,0.4048189935188871
16,48,26,29,61,24,0.8,0.0725,0.0,0.0984378491128594
17,53,25,47,59,16,0.3,0.0625,0.0005625,0.4034337650569144
18,39,26,46,81,21,0.5,0.0325,0.000225,0.7135000399974946
19,37,16,46,75,27,0.6000000000000001,0.0225,0.0007875,0.5063194615373999
20,40,35,47,55,29,0.3,0.0225,0.0001125,0.6276117830973454
21,30,27,48,62,18,0.6000000000000001,0.0825,0.0003375,0.4478024061781327
22,48,24,40,72,23,0.8,0.0225,0.0005625,0.3140402325571096
23,27,19,29,75,27,0.2,0.0525,0.0005625,0.6059297806029793
24,49,12,44,64,12,0.7000000000000002,0.0725,0.0009,0.2252379737653032
25,37,31,46,71,20,0.5,0.0525,0.000225,0.5189272235096051
26,52,30,26,63,20,0.5,0.0925,0.0007875,0.2331517840740621
27,31,32,37,55,16,0.6000000000000001,0.0625,0.0,0.2738998465882134
28,46,28,39,60,29,0.3,0.0425,0.0,0.584733253382069
29,35,15,45,59,29,0.2,0.0725,0.0001125,0.4096683263807724
30,47,26,43,69,21,0.5,0.0625,0.0001125,0.3963920833013843
31,27,12,33,61,25,0.8,0.0525,0.00045,0.2472263957191445
32,50,17,37,72,26,0.6000000000000001,0.0625,0.0009,0.4257076098891671
33,48,12,50,70,13,0.2,0.0525,0.0,0.4530201107061065
34,37,23,52,63,24,0.4,0.0525,0.000675,0.4005568768985495
35,46,31,45,75,10,0.6000000000000001,0.0525,0.0009,0.46490456760756
36,30,26,33,78,23,0.6000000000000001,0.0925,0.000225,0.4371270865790546
37,44,18,44,81,10,0.6000000000000001,0.0125,0.0009,0.621637031786888
38,34,29,49,79,28,0.6000000000000001,0.0725,0.0,0.5500334589815835
39,33,30,25,77,16,0.2,0.0525,0.0001125,0.4739985615896432
40,29,20,25,62,25,0.7000000000000002,0.0325,0.0001125,0.3557787853404952
41,29,31,31,81,22,0.6000000000000001,0.0625,0.000225,0.5230093184868739
42,44,16,32,51,12,0.3,0.0625,0.0001125,0.3274000499341755
43,48,12,30,51,16,0.3,0.0525,0.00045,0.3909788406948498
44,32,11,28,67,22,0.3,0.0825,0.0007875,0.3836216026283283
45,37,11,51,68,22,0.5,0.0825,0.00045,0.3004002120466156
46,52,20,38,71,15,0.7000000000000002,0.0725,0.0003375,0.284467184388753
47,26,23,31,51,18,0.8,0.0625,0.0003375,0.2523863718499134
48,40,15,26,54,12,0.3,0.0825,0.0001125,0.4227065228024001
49,51,18,46,51,16,0.4,0.0225,0.0,0.5254308613400884
50,48,27,53,75,17,0.5,0.0625,0.00045,0.5113159909824289
51,53,23,38,50,17,0.2,0.0725,0.0,0.3042680545203382
52,26,17,38,71,18,0.8,0.0625,0.0005625,0.3405310176382754
53,49,25,40,53,16,0.5,0.0825,0.0005625,0.3791586194441809
54,44,28,48,70,29,0.8,0.0225,0.0007875,0.4091424075991711
55,41,17,43,58,14,0.7000000000000002,0.0825,0.000675,0.3708848273680325
56,54,13,29,52,25,0.4,0.0225,0.0007875,0.4819256900255673
57,52,34,50,62,23,0.8,0.0825,0.000675,0.2466204913298929
58,42,19,44,68,22,0.8,0.0725,0.0007875,0.3697090349831986
59,29,10,26,52,18,0.7000000000000002,0.0825,0.0003375,0.3063275149154468
60,32,33,44,62,23,0.2,0.0825,0.0009,0.4604018123671478
61,45,28,41,82,14,0.3,0.0925,0.0,0.5519240356799774
62,49,23,46,51,20,0.5,0.0825,0.0005625,0.2992976697754531
63,30,15,51,82,14,0.5,0.0525,0.0009,0.3999607730215471
64,35,26,29,54,29,0.7000000000000002,0.0825,0.00045,0.2690015770401269
