Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id
53,41,33,41,62,29,0.4,0.0725,0.0007875,0.6233823123545171,3
54,37,27,28,74,23,0.6000000000000001,0.0825,0.0005625,0.3755075936710567,1
55,37,27,28,74,23,0.6000000000000001,0.0825,0.0005625,0.5026211914661332,2
56,37,27,28,74,23,0.6000000000000001,0.0825,0.0005625,0.4860416870430545,3
57,33,35,44,57,24,0.7000000000000002,0.0425,0.000225,0.235309187477033,1
58,33,35,44,57,24,0.7000000000000002,0.0425,0.000225,0.4428035771089202,2
59,33,35,44,57,24,0.7000000000000002,0.0425,0.000225,0.5693851884886449,3
60,45,32,44,56,21,0.3,0.0925,0.000225,0.1255941593760721,1
61,45,32,44,56,21,0.3,0.0925,0.000225,0.6372105168011094,2
62,45,32,44,56,21,0.3,0.0925,0.000225,0.2840881449873026,3
63,31,10,44,68,16,0.5,0.0425,0.00045,0.3352524974346938,1
64,31,10,44,68,16,0.5,0.0425,0.00045,0.4795863105070978,2
65,31,10,44,68,16,0.5,0.0425,0.00045,0.4697243079618061,3
66,40,14,30,62,29,0.5,0.0225,0.00045,0.2275375417072332,1
67,40,14,30,62,29,0.5,0.0225,0.00045,0.5753493028480663,2
68,40,14,30,62,29,0.5,0.0225,0.00045,0.6452015737867485,3
69,42,12,30,74,14,0.4,0.0125,0.00045,0.5988426155426964,1
70,42,12,30,74,14,0.4,0.0125,0.00045,0.6502752796905875,2
71,42,12,30,74,14,0.4,0.0125,0.00045,0.7173949805974792,3
72,43,16,38,71,20,0.7000000000000002,0.0125,0.0009,0.4150283928894437,1
73,43,16,38,71,20,0.7000000000000002,0.0125,0.0009,0.4019638141242631,2
74,43,16,38,71,20,0.7000000000000002,0.0125,0.0009,0.6951624427108647,3
75,53,17,33,68,23,0.3,0.0225,0.000225,0.4021799918479223,1
76,53,17,33,68,23,0.3,0.0225,0.000225,0.6801537832367981,2
77,53,17,33,68,23,0.3,0.0225,0.000225,0.3831497617124457,3
78,29,21,49,52,17,0.5,0.0925,0.000675,0.1028040657572468,1
79,29,21,49,52,17,0.5,0.0925,0.000675,0.3980501897341694,2
80,29,21,49,52,17,0.5,0.0925,0.000675,0.5123320789549153,3
81,30,33,34,77,27,0.7000000000000002,0.0225,0.0007875,0.4160899046240367,1
